"Date","Price (Open)","Price (High)","Price (Low)","Price (Close)","Real Volume","Circulating Marketcap"
"2019-08-31","9577.697080856959","9692.136558488037","9432.549474729483","9594.944443325709","585969863.0715247","171734180140.69595"
"2019-08-30","9481.82493739863","9694.777597670678","9347.262891566194","9583.573879899986","1023274624.8196507","170052956941.6884"
"2019-08-29","9713.23889901035","9726.924908155801","9315.273383710195","9489.43031120567","1524825357.2318406","174202930396.27808"
"2019-08-28","10173.2936350153","10294.849038874463","9541.474581349126","9720.609920309822","1893736004.9594107","182405578640.8232"
"2019-08-27","10366.979008635348","10386.705031449574","10035.297284164175","10171.978775208423","1111072312.3985958","185778059515.75732"
"2019-08-26","10140.641255888457","10673.419996166931","10137.936346756116","10365.019586857412","1890836532.8409936","181515168110.29715"
"2019-08-25","10139.438329021996","10370.627275844952","9901.668030312272","10139.511059451579","1039886931.9844398","181526525616.54303"
"2019-08-24","10392.268847835106","10419.270113255414","9888.614517681694","10142.349503257803","1158010822.3299487","186178809290.73502"
"2019-08-23","10105.99882061345","10454.627268834642","10031.464007861232","10392.928331184301","1203399781.674024","180891648307.8024"
"2019-08-22","10124.953991375307","10241.960978422294","9754.40123353602","10104.420833798717","1474388006.6476262","181290925276.64246"
"2019-08-21","10737.918067070625","10807.775500702508","9838.530595724165","10122.949760729325","2165155361.645704","192333943650.17072"
"2019-08-20","10917.831562922473","10953.107427576824","10567.124796225935","10762.165483825067","1298104863.8544142","195572735675.62973"
"2019-08-19","10324.327430440959","10944.232233085753","10261.671055741863","10921.235272827775","1595213979.970587","184798697619.63358"
"2019-08-18","10223.147820922299","10515.256152362588","10072.5028264709","10314.73275156703","974820423.3099772","182915375999.54355"
"2019-08-17","10337.116123013284","10475.938430558033","9995.797381148015","10210.34070767848","1215639084.7744563","185181451385.52084"
"2019-08-16","10290.893584786883","10537.392909388333","9744.787303712093","10338.370894455538","2458446191.2928576","184195031406.72903"
"2019-08-15","10008.896530400876","10451.005375419692","9483.803918887463","10292.32608857337","2866460991.50578","179355194811.13657"
"2019-08-14","10849.30660957985","10859.181129737119","9902.416508793764","10023.578350676371","2579520637.2468166","194548359829.39612"
"2019-08-13","11382.168595520783","11440.237047307073","10746.253111370106","10858.136519516498","1609204593.3256564","203529146959.9598"
"2019-08-12","11542.975291533447","11567.040139231443","11214.818193147805","11374.197915728533","892727460.1569648","206820889066.67834"
"2019-08-11","11275.111025869563","11591.563029671395","11092.941606755576","11533.766229301606","1199303206.3648095","201910862351.77762"
"2019-08-10","11862.049855006138","11973.1280267564","11203.906272775837","11271.45911270723","2009952148.5390444","212229560026.47968"
"2019-08-09","12004.080475562716","12040.229562453285","11656.234984521769","11862.288751388307","1861629426.460601","214290928827.07465"
"2019-08-08","11954.928774754115","12074.93471820695","11490.600536162065","11993.800798598393","2253699663.7955756","213880978186.0686"
